Timestamp,Filename,Prediction,Confidence,Status,Reason
2025-10-20 12:28:48,13.jpg,50_real,1.00,Real,The ₹50 note is real — hologram and print quality correct.
2025-10-20 12:29:33,40.jpg,2000_real,1.00,Real,"The ₹2000 note is real — watermark, optical ink, microtext correct."
2025-10-20 12:30:26,aug_132_WhatsApp Image 2025-04-05 at 10.55.44.jpeg,200_fake,0.55,Fake,The ₹200 note is fake — security thread alignment inconsistent.
2025-10-20 12:31:04,23.jpg,20_real,0.75,Real,"The ₹20 note is real — color tone, micro-lettering, verified."
2025-10-20 12:32:28,aug_153_WhatsApp Image 2025-04-05 at 10.59.20 (1).jpeg,100_fake,1.00,Fake,The ₹100 note is fake — Gandhi portrait and color contrast deviate.
2025-10-20 12:33:39,aug_359_WhatsApp Image 2025-04-05 at 10.48.47.jpeg,10_fake,0.79,Fake,The ₹10 note is fake due to mismatched watermark or incorrect texture pattern.
2025-10-20 12:34:28,aug_358_WhatsApp Image 2025-04-05 at 10.48.47.jpeg,10_fake,1.00,Fake,The ₹10 note is fake due to mismatched watermark or incorrect texture pattern.
2025-10-20 12:35:16,10.jpg,50_real,1.00,Real,The ₹50 note is real — hologram and print quality correct.
2025-10-20 12:39:59,0.jpg,100_real,1.00,Real,The ₹100 note is real — Gandhi portrait clarity correct.
2025-10-20 12:42:57,10.jpg,50_real,1.00,Real,The ₹50 note is real — hologram and print quality correct.
2025-10-20 12:46:24,10.jpg,50_real,1.00,Real,The ₹50 note is real — hologram and print quality correct.
2025-10-20 12:47:09,44.jpg,2000_real,1.00,Real,"The ₹2000 note is real — watermark, optical ink, microtext correct."
2025-10-20 12:49:40,1 (35).jpg,500_fake,1.00,Fake,The ₹500 note is fake — optical ink differs.
2025-10-20 12:55:31,9.jpg,50_real,0.99,Real,The ₹50 note is real — hologram and print quality correct.
2025-10-20 12:56:16,21.jpg,20_real,0.99,Real,"The ₹20 note is real — color tone, micro-lettering, verified."
2025-10-20 13:11:03,63.jpg,50_fake,0.89,Fake,The ₹50 note is fake — holographic strip and microtext mismatch.
2025-10-20 13:12:17,1 (27).jpg,500_real,0.86,Real,The ₹500 note is real — optical ink verified.
